ID,TIME,SUBJECT,DAY,TEACHER,DURATION,STATUS
,,,,,,
S078,11:17:41,CG,Tuesday,LR,11:15 to 1:15,ON TIME
,,,,,,
S108,11:19:18,CG,Tuesday,LR,11:15 to 1:15,ON TIME
,,,,,,
S049,11:19:47,CG,Tuesday,LR,11:15 to 1:15,ON TIME
,,,,,,
S155,11:20:11,CG,Tuesday,LR,11:15 to 1:15,ON TIME
,,,,,,
S127,11:20:35,CG,Tuesday,LR,11:15 to 1:15,ON TIME
,,,,,,
S119,11:20:58,CG,Tuesday,LR,11:15 to 1:15,ON TIME
,,,,,,
S106,11:22:50,CG,Tuesday,LR,11:15 to 1:15,ON TIME
,,,,,,
S078,13:16:59,AI,Tuesday,PS,1:15 to 3:15,ON TIME
,,,,,,
S108,13:19:30,AI,Tuesday,PS,1:15 to 3:15,ON TIME
,,,,,,
S049,13:19:54,AI,Tuesday,PS,1:15 to 3:15,ON TIME
,,,,,,
S155,13:20:13,AI,Tuesday,PS,1:15 to 3:15,ON TIME
,,,,,,
S127,13:20:36,AI,Tuesday,PS,1:15 to 3:15,ON TIME
,,,,,,
S106,13:20:59,AI,Tuesday,PS,1:15 to 3:15,ON TIME
,,,,,,
S119,13:21:52,AI,Tuesday,PS,1:15 to 3:15,ON TIME
,,,,,,
S078,15:17:41,DIP,Tuesday,RS,3:15 to 5:15,ON TIME
,,,,,,
S108,15:19:30,DIP,Tuesday,RS,3:15 to 5:15,ON TIME
,,,,,,
S049,15:19:47,DIP,Tuesday,RS,3:15 to 5:15,ON TIME
,,,,,,
S155,15:20:13,DIP,Tuesday,RS,3:15 to 5:15,ON TIME
,,,,,,
S127,15:20:35,DIP,Tuesday,RS,3:15 to 5:15,ON TIME
,,,,,,
S106,15:20:59,DIP,Tuesday,RS,3:15 to 5:15,ON TIME
,,,,,,
S119,15:21:52,DIP,Tuesday,RS,3:15 to 5:15,ON TIME
