ID,TIME,SUBJECT,DAY,TEACHER,DURATION,STATUS,,,,,
,,,,,,,,,,,
S108,12:19:18,CG,Wednesday,LR,12:15 to 2:15,ON TIME,,,,,
,,,,,,,,,,,
S049,12:20:06,CG,Wednesday,LR,12:15 to 2:15,ON TIME,,,,,
,,,,,,,,,,,
S119,12:20:23,CG,Wednesday,LR,12:15 to 2:15,ON TIME,,,,,
,,,,,,,,,,,
S155,12:20:51,CG,Wednesday,LR,12:15 to 2:15,ON TIME,,,,,
,,,,,,,,,,,
S127,12:21:35,CG,Wednesday,LR,12:15 to 2:15,ON TIME,,,,,
,,,,,,,,,,,
S078,12:27:41,CG,Wednesday,LR,12:15 to 2:15,ON TIME,,,,,
,,,,,,,,,,,
S106,12:28:50,CG,Wednesday,LR,12:15 to 2:15,ON TIME,,,,,
